STATE,if,return,(,ID,INT,FLOAT,STR,;,),{,},while,function,else,else if,TYPE,=,==,!=,<,>,!,+,-,*,/,&&,||,true,false,$,INVALID_TOKEN,ARGUMENTS,BODY,WHILE_LOOP,STATEMENTS,IF,WHILE,VARIABLE_DEFINITION,FUNCTION_CALL,ASSIGNMENT,RETURN_STATEMENT,FUNCTION_DEFINITION,OTHER_ARGUEMENTS,ELSE,ELSE_PART,LE,AE,LE1,LE2,LE3,LE4,LE5,T,F
S90,,,,,,,,,,,,,,,,,,,,,,,S37,S38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S91,R121,R121,R121,R121,R121,R121,R121,R121,R121,R121,R121,R121,R121,R121,R121,R121,R121,R121,R121,R121,R121,R121,R121,R121,S48,S49,R121,R121,R121,R121,,,,,,,,,,,,,,,,,,,,,,,,,
S92,R127,R127,R127,R127,R127,R127,R127,R127,R127,R127,R127,R127,R127,R127,R127,R127,R127,R127,R127,R127,R127,R127,R127,R127,S48,S49,R127,R127,R127,R127,,,,,,,,,,,,,,,,,,,,,,,,,
S93,R157,R157,R157,R157,R157,R157,R157,R157,R157,R157,R157,R157,R157,R157,R157,R157,R157,S39,S40,R157,R157,R157,R157,R157,R157,R157,R157,R157,R157,R157,,,,,,,,,,,,,,,,,,,,,,,,,
S94,R165,R165,R165,R165,R165,R165,R165,R165,R165,R165,R165,R165,R165,R165,R165,R165,R165,S33,S34,R165,R165,R165,S37,S38,R165,R165,S36,S35,R165,R165,,,,,,,,,,,,,,,,,,,,,,,,,
S95,,,,,,,,,,,,,,,,,,S39,S40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S96,,,,,,,,,,,,,,,,,,S33,S34,,,,S37,S38,,,S36,S35,,,,,,,,,,,,,,,,,,,,,,,,,,,
S97,S10,S125,R5,S13,R5,R5,R5,R5,R5,R5,R5,S5,R5,R5,R5,S201,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,,,,98,2,3,4,,6,7,8,9,200,,,,,,,,,,,,
S98,,,,,,,,,,,S99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S99,R107,R107,R107,R107,R107,R107,R107,R107,R107,R107,R107,R107,R107,S238,S126,R107,R107,R107,R107,R107,R107,R107,R107,R107,R107,R107,R107,R107,R107,R107,,,,,,,,,,,,,,,237,100,,,,,,,,,
